canonicalForm	description	predicate	event	activity	actor	object	inverse	source	vocabulary
replenish	Restock or refill inventory to maintain required levels	replenishes	replenished	replenishing	Replenisher	Replenishment	replenishedBy	https://www.apqc.org/	APQC PCF 7.0
report	Presenting information, findings, or status updates in a structured format to inform stakeholders or fulfill requirements	reports	reported	reporting	Reporter	Report	reportedBy	https://www.onetonline.org/	O*NET 28.0
request	Asking for or formally soliciting something needed for work activities	requests	requested	requesting	Requester	Request	requestedBy	https://www.onetonline.org/	O*NET 28.0
research	Conducting systematic inquiry to discover or verify facts and information	researches	researched	researching	Researcher	Research	researchedBy	https://www.onetonline.org/	O*NET 28.0
reserve	Setting aside goods for future use or allocation	reserves	reserved	reserving	Reserver	Reservation	reservedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
resolve	Finding solutions to problems or reaching agreement on disputed issues	resolves	resolved	resolving	Resolver	Resolution	resolvedBy	https://www.onetonline.org/	O*NET 28.0
respond	Reacting to or answering inquiries, requests, or communications from others	responds	responded	responding	Responder	Response	respondedTo	https://www.onetonline.org/	O*NET 28.0
retire	Remove assets or systems from service at end of lifecycle	retires	retired	retiring	Retirer	Retirement	retiredBy	https://www.apqc.org/	APQC PCF 7.0
review	Examining or assessing materials, documents, or work to verify quality and accuracy	reviews	reviewed	reviewing	Reviewer	Review	reviewedBy	https://www.onetonline.org/	O*NET 28.0
revise	Making changes or corrections to improve documents, plans, or work products	revises	revised	revising	Reviser	Revision	revisedBy	https://www.onetonline.org/	O*NET 28.0
schedule	Planning and organizing activities, meetings, or work to occur at specific times	schedules	scheduled	scheduling	Scheduler	Schedule	scheduledBy	https://www.onetonline.org/	O*NET 28.0
search	Looking for or attempting to locate specific information, items, or resources	searches	searched	searching	Searcher	Search	searchedFor	https://www.onetonline.org/	O*NET 28.0
select	Choosing items, options, or individuals from a set of alternatives based on specific criteria or requirements	selects	selected	selecting	Selector	Selection	selectedBy	https://www.onetonline.org/	O*NET 28.0
sell	Point of sale transaction and retail selling	sells	sold	selling	Seller	Sale	soldBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
serve	Providing services, products, or support to customers, clients, or patrons to meet their needs or requirements	serves	served	serving	Server	Service	servedBy	https://www.onetonline.org/	O*NET 28.0
ship	Dispatching goods for delivery to destination	ships	shipped	shipping	Shipper	Shipment	shippedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
simplify	Making something less complex, easier to understand, or more straightforward by removing unnecessary elements or reducing complications	simplifies	simplified	simplifying	Simplifier	Simplification	simplifiedBy	https://www.onetonline.org/	O*NET 28.0
solve	Finding answers or solutions to problems, challenges, or questions through analysis, reasoning, or experimentation	solves	solved	solving	Solver	Solution	solvedBy	https://www.onetonline.org/	O*NET 28.0
stage	Preparing goods for shipment or further processing	stages	staged	staging	Stager	Staging	stagedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
standardize	Establish uniform methods, formats, or practices across organization	standardizes	standardized	standardizing	Standardizer	Standardization	standardizedBy	https://www.apqc.org/	APQC PCF 7.0
stock	Placing goods into storage or inventory location	stocks	stocked	stocking	Stocker	Stocking	stockedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
store	Keeping goods or materials in inventory or storage	stores	stored	storing	Storer	Storage	storedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
strategize	Develop comprehensive plans and strategic direction for operations	strategizes	strategized	strategizing	Strategist	Strategy	strategizedBy	https://www.apqc.org/	APQC PCF 7.0
streamline	Simplify and improve efficiency of processes and operations	streamlines	streamlined	streamlining	Streamliner	Streamlining	streamlinedBy	https://www.apqc.org/	APQC PCF 7.0
subcontract	Assign portions of contracted work to secondary vendors	subcontracts	subcontracted	subcontracting	Subcontracter	Subcontract	subcontractedBy	https://www.apqc.org/	APQC PCF 7.0
suspend	Temporarily halt or pause operations, services, or access	suspends	suspended	suspending	Suspender	Suspension	suspendedBy	https://www.apqc.org/	APQC PCF 7.0
take	Conducting a comprehensive inventory count or stock audit	takes	taken	taking	Taker	Taking	takenBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
transport	Moving goods or materials between locations or in transit	transports	transported	transporting	Transporter	Transportation	transportedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
unload	Removing goods or materials from a transport vehicle or container	unloads	unloaded	unloading	Unloader	Unloading	unloadedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
unpack	Removing goods or materials from packaging or containers	unpacks	unpacked	unpacking	Unpacker	Unpacking	unpackedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
unreserve	Releasing inventory that was previously reserved or held for future use	unreserves	unreserved	unreserving	Unreserver	Unreserving	unreservedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
void	Canceling or nullifying a shipment or transaction	voids	voided	voiding	Voider	Voiding	voidedBy	https://ref.gs1.org/cbv/2.0.0/	CBV 2.0
define	To establish the meaning, scope, or boundaries of something. To specify requirements or parameters clearly.	defines	defined	defining	Definer	Definition	definedBy	APQC/ONET	Discovered
use	To employ or utilize something for a particular purpose. To apply a tool, method, or resource in practice.	uses	used	using	User	Usage	usedBy	APQC/ONET	Discovered
understand	To comprehend or grasp the meaning, nature, or importance of something. To have knowledge or insight about a subject.	understands	understood	understanding	Understander	Understanding	understoodBy	APQC/ONET	Discovered
write	To compose text, documentation, or code. To create written materials or records.	writes	wrote	writing	Writer	Writing	writtenBy	APQC/ONET	Discovered
track	To monitor, record, or follow the progress of something over time. To maintain records of status or changes.	tracks	tracked	tracking	Tracker	Track	trackedBy	APQC/ONET	Discovered
train	To teach skills or knowledge to others. To develop capabilities through instruction and practice.	trains	trained	training	Trainer	Training	trainedBy	APQC/ONET	Discovered
validate	To verify that something meets requirements or standards. To confirm accuracy, correctness, or compliance.	validates	validated	validating	Validator	Validation	validatedBy	APQC/ONET	Discovered
test	To examine or evaluate something to verify its quality, performance, or functionality. To conduct trials or experiments.	tests	tested	testing	Tester	Test	testedBy	APQC/ONET	Discovered
align	To arrange or position things in proper coordination. To ensure consistency or agreement between elements.	aligns	aligned	aligning	Aligner	Alignment	alignedBy	APQC/ONET	Discovered
solicit	To request or seek input, feedback, or participation from others. To actively ask for contributions or responses.	solicits	solicited	soliciting	Solicitor	Solicitation	solicitedBy	APQC/ONET	Discovered
support	To provide assistance, resources, or backing to enable work or operations to continue	supports	supported	supporting	Supporter	Support	supportedBy	APQC/ONET	Discovered
derive	To obtain or extract something from a source through analysis or calculation	derives	derived	deriving	Deriver	Derivation	derivedBy	APQC/ONET	Discovered
collaborate	To work jointly with others toward a common goal or outcome	collaborates	collaborated	collaborating	Collaborator	Collaboration	collaboratedBy	APQC/ONET	Discovered
order	To arrange items in sequence or to request goods and services	orders	ordered	ordering	Orderer	Order	orderedBy	APQC/ONET	Discovered
adjust	To make small changes or modifications to improve fit or accuracy	adjusts	adjusted	adjusting	Adjuster	Adjustment	adjustedBy	APQC/ONET	Discovered
teach	To impart knowledge or skills through instruction and guidance	teaches	taught	teaching	Teacher	Teaching	taughtBy	APQC/ONET	Discovered
build	To construct or create something by assembling parts or materials	builds	built	building	Builder	Build	builtBy	APQC/ONET	Discovered
obtain	To acquire or get possession of something through effort or request	obtains	obtained	obtaining	Obtainer	Obtainment	obtainedBy	APQC/ONET	Discovered
ensure	To make certain that something will occur or be the case	ensures	ensured	ensuring	Ensurer	Assurance	ensuredBy	APQC/ONET	Discovered
gather	To collect or assemble information, materials, or people from various sources	gathers	gathered	gathering	Gatherer	Gathering	gatheredBy	APQC/ONET	Discovered
post	To publish or display information, content, or materials in a public or accessible location. Commonly used in digital contexts for sharing content online or in physical contexts for displaying notices.	posts	posted	posting	Poster	Post	postedBy	APQC/ONET	Discovered
contact	To communicate with or reach out to a person or organization for information, coordination, or relationship building. Essential for business communication and networking activities.	contacts	contacted	contacting	Contact	Contact	contactedBy	APQC/ONET	Discovered
mentor	To guide, advise, and support someone's professional or personal development through experienced counsel. A key activity in talent development and knowledge transfer.	mentors	mentored	mentoring	Mentor	Mentorship	mentoredBy	APQC/ONET	Discovered
match	To pair or align items, people, or criteria based on compatibility or correspondence. Used in recruiting, resource allocation, and pattern recognition processes.	matches	matched	matching	Matcher	Match	matchedBy	APQC/ONET	Discovered
model	To create a representation, simulation, or exemplar of a system, process, or behavior. Used in analysis, planning, and demonstration activities.	models	modeled	modeling	Modeler	Model	modeledBy	APQC/ONET	Discovered
calibrate	To adjust, standardize, or fine-tune equipment, processes, or measurements to ensure accuracy and consistency. Critical for quality control and precision operations.	calibrates	calibrated	calibrating	Calibrator	Calibration	calibratedBy	APQC/ONET	Discovered
set	To establish, configure, or position something in a specific state or location. Involves defining parameters, arranging items, or initializing systems.	sets	set	setting	Setter	Set	setBy	APQC/ONET	Discovered
make	To create, produce, or manufacture something through effort or process. A fundamental productive activity across all industries and functions.	makes	made	making	Maker	Make	madeBy	APQC/ONET	Discovered
screen	To evaluate, filter, or examine candidates, materials, or information against defined criteria. Common in hiring, quality control, and security processes.	screens	screened	screening	Screener	Screen	screenedBy	APQC/ONET	Discovered
hire	To employ or engage a person for work or services in exchange for compensation. A core human resources function for building organizational capability.	hires	hired	hiring	Hirer	Hire	hiredBy	APQC/ONET	Discovered
reward	To give recognition, compensation, or incentive to someone for their achievements, performance, or contributions. Commonly used in employee recognition and incentive programs.	rewards	rewarded	rewarding	Rewarder	Reward	rewardedBy	APQC/ONET	Discovered
relocate	To move personnel, equipment, or operations from one location to another. Often involves strategic business decisions or workforce management.	relocates	relocated	relocating	Relocator	Relocation	relocatedBy	APQC/ONET	Discovered
triage	To prioritize and categorize tasks, issues, or cases based on urgency and importance. Critical in customer support, healthcare, and incident management.	triages	triaged	triaging	Triager	Triage	triagedBy	APQC/ONET	Discovered
verify	To confirm the accuracy, validity, or authenticity of information, data, or credentials. Essential in quality control and compliance processes.	verifies	verified	verifying	Verifier	Verification	verifiedBy	APQC/ONET	Discovered
issue	To officially distribute, assign, or publish documents, equipment, or directives. Includes issuing purchase orders, permits, or communications.	issues	issued	issuing	Issuer	Issue	issuedBy	APQC/ONET	Discovered
cut	To reduce, eliminate, or physically separate materials or resources. Used in manufacturing, cost reduction, and resource management contexts.	cuts	cut	cutting	Cutter	Cut	cutBy	APQC/ONET	Discovered
troubleshoot	To diagnose and resolve problems in systems, equipment, or processes. Critical skill in IT support, maintenance, and technical services.	troubleshoots	troubleshot	troubleshooting	Troubleshooter	Troubleshooting	troubleshotBy	APQC/ONET	Discovered
secure	To obtain or make safe and protected from threats or risks. Encompasses both acquiring resources and implementing security measures.	secures	secured	securing	Securer	Security	securedBy	APQC/ONET	Discovered
update	To revise, modify, or bring information and systems to current state. Essential in maintaining accurate records and modern systems.	updates	updated	updating	Updater	Update	updatedBy	APQC/ONET	Discovered
specify	To define requirements, parameters, or details precisely. Important in requirements gathering, procurement, and design processes.	specifies	specified	specifying	Specifier	Specification	specifiedBy	APQC/ONET	Discovered
incorporate	To combine or unite elements into a single entity or system. Often used in contexts of integrating new components, forming legal entities, or including elements into a larger whole.	incorporates	incorporated	incorporating	Incorporator	Incorporation	incorporatedBy	APQC/ONET	Discovered
release	To make available, distribute, or free something for use or distribution. Can refer to product launches, information disclosure, or granting freedom from obligations.	releases	released	releasing	Releaser	Release	releasedBy	APQC/ONET	Discovered
service	To perform maintenance, repair, or provide ongoing support for equipment, systems, or customer needs. Involves ensuring continued operation and meeting requirements.	services	serviced	servicing	Servicer	Service	servicedBy	APQC/ONET	Discovered
notify	To formally inform or give notice to parties about events, changes, or required actions. Ensures stakeholders receive timely communication.	notifies	notified	notifying	Notifier	Notification	notifiedBy	APQC/ONET	Discovered
submit	To present or deliver documents, proposals, or work for consideration, approval, or processing. Involves formal presentation to authorities or decision-makers.	submits	submitted	submitting	Submitter	Submission	submittedBy	APQC/ONET	Discovered
open	To initiate, begin, or make accessible a process, account, facility, or opportunity. Can refer to starting new operations or providing access.	opens	opened	opening	Opener	Opening	openedBy	APQC/ONET	Discovered
liaise	To establish and maintain communication and coordination between parties or departments. Involves acting as a connection point to facilitate collaboration.	liaises	liaised	liaising	Liaison	Liaison	liaisedBy	APQC/ONET	Discovered
appraise	To assess, evaluate, or estimate the value, quality, or performance of assets, employees, or situations. Provides formal judgments based on established criteria.	appraises	appraised	appraising	Appraiser	Appraisal	appraisedBy	APQC/ONET	Discovered
consolidate	To combine multiple elements, accounts, or operations into a unified whole for efficiency or clarity. Often involves merging financial records or organizational units.	consolidates	consolidated	consolidating	Consolidator	Consolidation	consolidatedBy	APQC/ONET	Discovered
transfer	To move, convey, or relocate something from one place, person, or system to another. Includes physical movement, ownership changes, or data migration between locations or entities.	transfers	transferred	transferring	Transferrer	Transfer	transferredBy	APQC/ONET	Discovered
pilot	To test, trial, or operate a new program, system, or initiative on a small scale before full implementation. Involves conducting experimental or preliminary runs to validate approaches.	pilots	piloted	piloting	Pilot	Pilot	pilotedBy	APQC/ONET	Discovered
file	To submit documents officially or organize materials in a systematic filing system. Used in business processes for document management and regulatory compliance.	files	filed	filing	Filer	File	filedBy	APQC/ONET	Discovered
construct	To build or create structures, systems, or frameworks. Used in business processes for developing infrastructure, assembling components, or formulating plans.	constructs	constructed	constructing	Constructor	Construction	constructedBy	APQC/ONET	Discovered
undertake	To begin, commit to, or assume responsibility for a task or project. Used in business processes when initiating new initiatives or accepting obligations.	undertakes	undertook	undertaking	Undertaker	Undertaking	undertakenBy	APQC/ONET	Discovered
scope	To define or determine the extent, boundaries, or requirements of a project or initiative. Used in business processes for planning and establishing project parameters.	scopes	scoped	scoping	Scoper	Scope	scopedBy	APQC/ONET	Discovered
sustain	To maintain, support, or keep operational over time. Used in business processes for ongoing operations, maintaining standards, or providing continuous support.	sustains	sustained	sustaining	Sustainer	Sustenance	sustainedBy	APQC/ONET	Discovered
inventory	To count, catalog, or systematically record items in stock. Used in business processes for asset management, stock control, and physical verification of materials.	inventories	inventoried	inventorying	Inventorier	Inventory	inventoriedBy	APQC/ONET	Discovered
read	To interpret written or printed information, or to review and understand documents. Used in business processes for data analysis, document review, and information gathering.	reads	read	reading	Reader	Reading	readBy	APQC/ONET	Discovered
move	To relocate, transfer, or shift items, resources, or operations from one location or state to another. Used in business processes for logistics, resource allocation, and organizational changes.	moves	moved	moving	Mover	Move	movedBy	APQC/ONET	Discovered
account	Provide an explanation or be responsible for something	accounts	accounted	accounting	Accountant	Account	accountedBy
adapt	Modify or adjust to new conditions or requirements	adapts	adapted	adapting	Adapter	Adaptation	adaptedBy
address	Deal with or direct attention to a matter or person	addresses	addressed	addressing	Addresser	Address	addressedBy
adopt	Take on or formally approve a course of action	adopts	adopted	adopting	Adopter	Adoption	adoptedBy
alert	Make aware of a potential danger or important information	alerts	alerted	alerting	Alerter	Alert	alertedBy
allow	Permit or enable something to happen	allows	allowed	allowing	Allower	Allowance	allowedBy
answer	Provide a response to a question or action	answers	answered	answering	Answerer	Answer	answeredBy
ascertain	Determine the facts or details of something with certainty	ascertains	ascertained	ascertaining	Ascertainer	Ascertainment	ascertainedBy
assure	Make someone confident or certain about something	assures	assured	assuring	Assurer	Assurance	assuredBy
augment	Make something greater in size or quantity	augments	augmented	augmenting	Augmenter	Augmentation	augmentedBy
authenticate	Verify the origin or validity of something	authenticates	authenticated	authenticating	Authenticator	Authentication	authenticatedBy
automate	Convert a process to be operated automatically	automates	automated	automating	Automator	Automation	automatedBy
avoid	Keep away from or prevent something from happening	avoids	avoided	avoiding	Avoider	Avoidance	avoidedBy
Balance	Distribute weight or maintain equilibrium in work processes or resources	balances	balanced	balancing	Balancer	Balance	balancedBy
Become	Develop into or grow to be something different	becomes	became	becoming	Becomer	Becoming	becomeBy
Boost	Increase or improve performance, productivity, or effectiveness	boosts	boosted	boosting	Booster	Boost	boostedBy
Bridge	Connect or span gaps between different departments, systems, or perspectives	bridges	bridged	bridging	Bridger	Bridge	bridgedBy
Bundle	Combine multiple items or services into a single package or offering	bundles	bundled	bundling	Bundler	Bundle	bundledBy
Buy	Acquire or purchase goods or services for organizational use	buys	bought	buying	Buyer	Buy	boughtBy
Carry	Transport, convey, or maintain responsibility for tasks or items	carries	carried	carrying	Carrier	Carry	carriedBy
Change	Alter, transform, or modify processes, systems, or approaches	changes	changed	changing	Changer	Change	changedBy
Clarify	Make something clear or easier to understand in communication	clarifies	clarified	clarifying	Clarifier	Clarification	clarifiedBy
Coach	Guide, train, or develop individuals to improve performance	coaches	coached	coaching	Coach	Coaching	coachedBy
Combine	Join or merge multiple elements into an integrated whole	combines	combined	combining	Combiner	Combination	combinedBy
Commence	Begin or start a project, activity, or business operation	commences	commenced	commencing	Commencer	Commencement	commencedBy
Confer	Consult or discuss with colleagues to exchange ideas or make decisions	confers	conferred	conferring	Conferrer	Conferral	conferredBy
Consider	Give thought to or evaluate options, factors, or proposals carefully	considers	considered	considering	Considerer	Consideration	consideredBy
Correct	Fix errors or adjust something to make it accurate or proper	corrects	corrected	correcting	Corrector	Correction	correctedBy
Correspond	Communicate or be in agreement with someone or something; exchange letters or messages	corresponds	corresponded	corresponding	Correspondent	Correspondence	correspondedWith
Craft	Create or make something skillfully with careful attention to detail	crafts	crafted	crafting	Crafter	Craft	craftedBy
Describe	Provide details or an account of something; explain characteristics or features	describes	described	describing	Describer	Description	describedBy
Detect	Discover or identify the presence of something, often something hidden or subtle	detects	detected	detecting	Detector	Detection	detectedBy
Dig	Excavate or search deeply into something; investigate thoroughly	digs	dug	digging	Digger	Dig	dugBy
Display	Show or present something prominently for others to see; exhibit	displays	displayed	displaying	Displayer	Display	displayedBy
Disseminate	Spread or distribute information, ideas, or knowledge widely	disseminates	disseminated	disseminating	Disseminator	Dissemination	disseminatedBy
Distill	Extract the essential meaning or most important elements from something; refine or purify	distills	distilled	distilling	Distiller	Distillation	distilledBy
Draw	Attract or pull something toward oneself; create a visual representation; conclude or infer	draws	drew	drawing	Drawer	Drawing	drawnBy
Eliminate	Remove, get rid of, or exclude someone or something completely	eliminates	eliminated	eliminating	Eliminator	Elimination	eliminatedBy
Encourage	Give support, confidence, or motivation to someone to do something	encourages	encouraged	encouraging	Encourager	Encouragement	encouragedBy
Enhance	Make something better, stronger, or more effective; improve	enhances	enhanced	enhancing	Enhancer	Enhancement	enhancedBy
Evolve	Develop gradually or change over time; progress or advance	evolves	evolved	evolving	Evolver	Evolution	evolvedBy
Expand	Make something larger, wider, or more extensive; increase in size or scope	expands	expanded	expanding	Expander	Expansion	expandedBy
Expedite	Speed up a process; make something happen faster or more quickly	expedites	expedited	expediting	Expediter	Expedition	expeditedBy
Explore	Investigate or examine something thoroughly to discover information or possibilities	explores	explored	exploring	Explorer	Exploration	exploredBy
Express	Convey ideas, opinions, or emotions clearly and effectively	expresses	expressed	expressing	Expresser	Expression	expressedBy
Extend	Stretch out, enlarge, or increase the scope or duration of something	extends	extended	extending	Extender	Extension	extendedBy
Fill	Complete a space or make something full by adding content or material	fills	filled	filling	Filler	Filling	filledBy
Follow	Move or proceed in the same direction, or comply with instructions or guidance	follows	followed	following	Follower	Following	followedBy
Form	Shape, create, or develop something into a specific structure or arrangement	forms	formed	forming	Former	Formation	formedBy
Formalize	Make something official or put it into a standardized format	formalizes	formalized	formalizing	Formalizer	Formalization	formalizedBy
Gain	Obtain, achieve, or increase something desired such as knowledge or advantage	gains	gained	gaining	Gainer	Gain	gainedBy
Get	Obtain, acquire, or receive something needed or desired	gets	gotten	getting	Getter	Getting	gottenBy
Give	Provide, offer, or transfer something to another person or entity	gives	gave	giving	Giver	Gift	givenBy
Glean	Gradually collect or gather information, knowledge, or resources from various sources	gleans	gleaned	gleaning	Gleaner	Gleaning	gleaned By
Govern	Direct, control, or manage an organization, process, or situation according to rules	governs	governed	governing	Governor	Governance	governedBy
Grow	Increase in size, value, scope, or importance over time	grows	grew	growing	Grower	Growth	grownBy
Hand	Give, pass, or deliver something to another person	hands	handed	handing	Handler	Handoff	handedBy
Harvest	Gather, collect, or extract the results or benefits of previous efforts	harvests	harvested	harvesting	Harvester	Harvest	harvestedBy
have	Possess, own, or maintain control or responsibility for something	has	had	having	Haver	Having	hadBy
help	Provide assistance, support, or aid to someone to accomplish a task	helps	helped	helping	Helper	Help	helpedBy
hoist	Lift or raise something to a higher position using equipment or effort	hoists	hoisted	hoisting	Hoister	Hoist	hoisedBy
import	Bring in goods, data, or concepts from outside sources into a system	imports	imported	importing	Importer	Import	importedBy
include	Contain or comprise as a constituent part; add something to a group	includes	included	including	Includer	Inclusion	includedBy
increase	Make something greater in size, amount, degree, or intensity	increases	increased	increasing	Increaser	Increase	increasedBy
indicate	Point out, show, or suggest that something is the case	indicates	indicated	indicating	Indicator	Indication	indicatedBy
ingest	Take in or consume data, information, or substances for processing	ingests	ingested	ingesting	Ingester	Ingestion	ingestedBy
interact	Engage in communication or activity with others or systems	interacts	interacted	interacting	Interactor	Interaction	interactedBy
introduce	Present, bring in, or make someone aware of something new	introduces	introduced	introducing	Introducer	Introduction	introducedBy
invest	Commit resources, time, or capital with expectation of return or benefit	invests	invested	investing	Investor	Investment	investedBy
invite	Request or encourage someone's presence or participation in an event	invites	invited	inviting	Inviter	Invitation	invitedBy
keep	Maintain, retain, or continue to have or do something over time	keeps	kept	keeping	Keeper	Keeping	keptBy
label	Assign a name, description, or category to identify something	labels	labeled	labeling	Labeler	Label	labeledBy
launch	Initiate or start a process, project, or activity formally	launches	launched	launching	Launcher	Launch	launchedBy
Leverage	Use or employ a resource, skill, or advantage strategically to achieve maximum benefit	leverages	leveraged	leveraging	Leverager	Leverage	leveragedBy
Locate	Find or determine the position or place of something or someone	locates	located	locating	Locator	Location	locatedBy
Log	Record information systematically in a document, database, or register	logs	logged	logging	Logger	Log	loggedBy
Maximize	Increase to the greatest possible extent or highest achievable level	maximizes	maximized	maximizing	Maximizer	Maximization	maximizedBy
Meet	Satisfy a requirement, expectation, or obligation	meets	met	meeting	Meeter	Meeting	metBy
Minimize	Reduce to the smallest possible extent or lowest acceptable level	minimizes	minimized	minimizing	Minimizer	Minimization	minimizedBy
Mitigate	Make less severe, reduce the impact or seriousness of a problem	mitigates	mitigated	mitigating	Mitigator	Mitigation	mitigatedBy
Mix	Combine different elements, substances, or groups together	mixes	mixed	mixing	Mixer	Mixture	mixedBy
Offer	Present, propose, or make available something for consideration or acceptance	offers	offered	offering	Offerer	Offering	offeredBy
Offset	Counterbalance or compensate for something by using an opposite force or factor	offsets	offset	offsetting	Offsetter	Offset	offsetBy
Orchestrate	Plan, organize, and coordinate complex activities or efforts	orchestrates	orchestrated	orchestrating	Orchestrator	Orchestration	orchestratedBy
Outline	Describe or mark the main points, structure, or shape of something	outlines	outlined	outlining	Outliner	Outline	outlinedBy
Pay	Give money in exchange for goods or services, or give attention to something	pays	paid	paying	Payer	Payment	paidBy
Personalize	Customize or adapt something to meet individual preferences or requirements	personalizes	personalized	personalizing	Personalizer	Personalization	personalizedBy
Place	Put or position something in a particular location or situation	places	placed	placing	Placer	Placement	placedBy
Predict	Make a forecast or determination about future outcomes or events	predicts	predicted	predicting	Predictor	Prediction	predictedBy
Prevent	Stop or hinder something from happening or occurring	prevents	prevented	preventing	Preventer	Prevention	preventedBy
Prove	Demonstrate or establish the truth or validity of something	proves	proved	proving	Prover	Proof	provedBy
Put	Place or position something in a specific location or state	puts	put	putting	Putter	Placement	putBy
Qualify	Meet the necessary requirements or standards for something	qualifies	qualified	qualifying	Qualifier	Qualification	qualifiedBy
Reach	Arrive at or attain a particular level or destination	reaches	reached	reaching	Reacher	Reach	reachedBy
React	Respond or take action in response to something	reacts	reacted	reacting	Reactor	Reaction	reactedBy
Realign	Adjust or reposition something to correct alignment or focus	realigns	realigned	realigning	Realigner	Realignment	realignedBy
Recognize	Identify or acknowledge something as valid or worthy	recognizes	recognized	recognizing	Recognizer	Recognition	recognizedBy
Recover	Return to a normal state or retrieve something lost	recovers	recovered	recovering	Recoverer	Recovery	recoveredBy
Reflect	Consider carefully or demonstrate a particular quality or characteristic	reflects	reflected	reflecting	Reflector	Reflection	reflectedBy
Relate	Show a connection between things or communicate information	relates	related	relating	Relater	Relation	relatedBy
Remediate	Take corrective action to fix or address a problem	remediates	remediated	remediating	Remediator	Remediation	remediatedBy
Replicate	Make an exact copy or reproduce something	replicates	replicated	replicating	Replicator	Replication	replicatedBy
Retain	Keep or maintain possession of something	retains	retained	retaining	Retainer	Retention	retainedBy
retrieve	Obtain and bring back information or data from a storage system	retrieves	retrieved	retrieving	Retriever	Retrieval	retrievedBy
return	Give back or send something to its original location or owner	returns	returned	returning	Returner	Return	returnedBy
revamp	Completely renovate or redesign something for improvement	revamps	revamped	revamping	Revamper	Revamp	revampedBy
rework	Reshape or redo work to improve quality or efficiency	reworks	reworked	reworking	Reworker	Rework	reworkedBy
route	Direct or send something along a specific path or channel	routes	routed	routing	Router	Route	routedBy
run	Execute or operate a system, process, or program	runs	ran	running	Runner	Run	runBy
save	Store or preserve data, documents, or resources for future use	saves	saved	saving	Saver	Saving	savedBy
scan	Examine or review documents or data systematically for information	scans	scanned	scanning	Scanner	Scan	scannedBy
scout	Explore or investigate an area to gather intelligence or assess conditions	scouts	scouted	scouting	Scout	Scout	scoutedBy
see	Perceive or understand information visually or conceptually	sees	saw	seeing	Seer	Sight	seenBy
seek	Actively search for or pursue specific information or resources	seeks	sought	seeking	Seeker	Seek	soughtBy
send	Dispatch or transmit something to a recipient or destination	sends	sent	sending	Sender	Sending	sentBy
settle	Resolve a dispute or establish an agreement definitively	settles	settled	settling	Settler	Settlement	settledBy
share	Distribute or communicate information to multiple stakeholders	shares	shared	sharing	Sharer	Sharing	sharedBy
shift	Move or transfer responsibility, focus, or resources to a different state	shifts	shifted	shifting	Shifter	Shift	shiftedBy
source	Obtain or identify the origin or primary location of something	sources	sourced	sourcing	Sourcer	Source	sourcedBy
speak	Communicate information or ideas verbally to an audience	speaks	spoke	speaking	Speaker	Speech	spokenBy
start	Begin or initiate an activity, process, or organization	starts	started	starting	Starter	Start	startedBy
stop	Cease or halt an activity or operation	stops	stopped	stopping	Stopper	Stop	stoppedBy
strengthen	Make something stronger or more robust in capacity	strengthens	strengthened	strengthening	Strengthener	Strengthening	strengthenedBy
suggest	Propose an idea or course of action for consideration	suggests	suggested	suggesting	Suggester	Suggestion	suggestedBy
summarize	Present a concise overview of the main points	summarizes	summarized	summarizing	Summarizer	Summary	summarizedBy
supervise	Direct and oversee the work of subordinates or a process	supervises	supervised	supervising	Supervisor	Supervision	supervisedBy
supplement	Add something additional to complete or enhance	supplements	supplemented	supplementing	Supplementer	Supplement	supplementedBy
supply	Provide or furnish something that is needed	supplies	supplied	supplying	Supplier	Supply	suppliedBy
survey	Examine or assess a situation, opinion, or property	surveys	surveyed	surveying	Surveyor	Survey	surveyedBy
switch	Change from one thing to another or reverse a position	switches	switched	switching	Switcher	Switch	switchedBy
synthesize	Combine elements into a unified whole or integrate information	synthesizes	synthesized	synthesizing	Synthesizer	Synthesis	synthesizedBy
tap	Strike lightly or access a resource for use	taps	tapped	tapping	Tapper	Tap	tappedBy
target	Direct efforts toward achieving a specific goal or audience	targets	targeted	targeting	Targeter	Target	targetedBy
tint	Apply a slight shade or color variation to something	tints	tinted	tinting	Tinter	Tint	tintedBy
transform	Fundamentally change the form, nature, or function of something	transforms	transformed	transforming	Transformer	Transformation	transformedBy
translate	Convert text or communication from one language or format to another	translates	translated	translating	Translator	Translation	translatedBy
uncover	Discover or reveal hidden information, issues, or insights	uncovers	uncovered	uncovering	Uncoverer	Discovery	uncoveredBy
unlock	Release restrictions or enable access to resources, opportunities, or potential	unlocks	unlocked	unlocking	Unlocker	Unlock	unlockedBy
upgrade	Improve the quality, capability, or version of something to a higher standard	upgrades	upgraded	upgrading	Upgrader	Upgrade	upgradedBy
